table_id,page_title,section_title,table_caption,headers,sample_data
table-0005-924,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 4,Episode 4,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Lap 3"", ""Total Time"", ""Result""]","[[""1"", ""[Bill_Cowher|Bill Cowher]"", ""140.37mph"", ""139.79mph"", ""142.03mph"", ""1:55:11"", ""Advanced to next round""], [""2"", ""[Gabrielle_Reece|Gabrielle Reece]"", ""131.07mph"", ""134.19mph"", ""137.58mph"", ""2:00:69"", ""Advanced to next round""], [""3"", ""[William_Shatner|William Shatner]"", ""134.73mph"", ""134.26mph"", ""137.51mph"", ""1:59:56"", ""Eliminated (DQ)""]]"
table-0005-925,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 5,Episode 5,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Penalties"", ""Total Time"", ""Result""]","[[""1"", ""[Ty_Murray|Ty Murray]"", ""141.51mph"", ""142.86mph"", ""arrow clusters-4 sec. penalty pit box-5 sec. penalty"", ""2:05:53"", ""Advanced to next round""], [""2"", ""[John_Elway|John Elway]"", ""140.44mph"", ""141.47mph"", ""arrow clusters-2 sec. penalty pit box-no penalty"", ""2:07:33"", ""Advanced to next round""], [""3"", ""[Tony_Hawk|Tony Hawk]"", ""140.59mph"", ""138.67mph"", ""arrow clusters-no penalty pit box-no penalty"", ""2:07:94"", ""Advanced to next round""]]"
table-0005-926,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 6,Episode 6,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Penalties"", ""Total Time"", ""Result""]","[[""1"", ""[John_Cena|John Cena]"", ""136.43mph"", ""137.86mph"", ""arrow clusters- 2 sec. penalty pit box- no penalty"", ""2:04:98"", ""Advanced to next round""], [""2"", ""[Bill_Cowher|Bill Cowher]"", ""111.62mph"", ""113.28mph"", ""arrow clusters- no penalty pit box- no penalty"", ""2:25:33"", ""Advanced to next round""], [""3"", ""[Jewel_(singer)|Jewel]"", ""127.66mph"", ""131.20mph"", ""arrow clusters- 4 sec. penalty pit box- 15 sec. penalty"", ""2:26:98"", ""Advanced to next round""]]"
table-0005-927,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode ratings,Episode ratings,"[""Episode #"", ""Title"", ""Air Date"", ""Demo"", ""Viewers""]","[[""1"", ""\""Episode 101\"""", ""June 7, 2007"", ""1.9/7"", ""5.62million""], [""2"", ""\""Episode 102\"""", ""June 10, 2007"", ""1.6/5"", ""4.75million""], [""3"", ""\""Episode 103\"""", ""June 12, 2007"", ""1.8/7"", ""5.09million""]]"
table-0007-837,New Jersey Transit Rail Operations,Passenger cars,Passenger cars,"[""Builder and model"", ""Photo"", ""Numbers"", ""Total"", ""Built"", ""Rebuilt (rebuilder)"", ""Notes""]","[[""[Budd_Company|Budd]"", """", ""1304\u20131333 (singles) 1334\u20131533 (pairs)"", ""30 single cars (no lavatory) 200 paired cars (lavatory in odd cars)"", ""1977\u20131978"", ""[ABB_Group|ABB]"", ""Self-propelled cars Cars have center doors To be replaced by Arrow IVs Some units retired due to damage from Superstorm Sandy""], [""[Bombardier_Transportation|Bombardier]"", """", ""5300\u20135396, 5441\u20135458, 5460"", ""116 trailers (no lavatories)"", ""1982\u20131983"", ""[AAI_Corporation|AAI]"", ""Formerly Comet II""], [""[Bombardier_Transportation|Bombardier]"", """", ""5397\u20135440, 5459"", ""45 trailers (no lavatories)"", ""1987\u20131989"", ""[AAI_Corporation|AAI]"", ""Formerly Comet IIB""]]"
table-0007-924,Canadian dollar,From the Canadian pound to the Canadian dollar,From the Canadian pound to the Canadian dollar,"[""Currencies used in Canada and its predecessors"", ""Currencies used in Canada and its predecessors"", ""Currencies used in Canada and its predecessors"", ""Currencies used in Canada and its predecessors""]","[[""[Canadian_pound|Canadian pound]"", ""1841\u20131858"", ""16s 5.3d"", ""$4""], [""Canadian dollar"", ""1858\u2013present"", ""4s 1.3d"", ""$1""], [""[New_Brunswick_dollar|New Brunswick dollar]"", ""1860\u20131867"", ""4s 1.3d"", ""$1""]]"
table-0007-925,Canadian dollar,Reserve currency,Most traded currencies by value Currency distribution of global foreign exchange market turnover,"[""Rank"", ""Currency"", ""[ISO_4217|ISO 4217]"", ""% daily share (April 2013)""]","[[""1"", ""[United_States_dollar|United States dollar]"", ""USD ($)"", ""87.0%""], [""2"", ""[Euro|Euro]"", ""EUR (\u20ac)"", ""33.4%""], [""3"", ""[Japanese_yen|Japanese yen]"", ""JPY (\u00a5)"", ""23.0%""]]"
table-0008-100,From Yesterday,External links,External links,"[""[Pain_(Three_Days_Grace_song)|Pain]""]",[]
table-0008-735,Chihiro Onitsuka,Studio albums,Studio albums,"[""Year"", ""Album"", ""Chart positions"", ""Label"", ""RIAJ Certification""]","[[""2001"", ""[Insomnia_(Chihiro_Onitsuka_album)|Insomnia]"", ""1"", ""Toshiba EMI/Virgin Tokyo"", ""6x Platinum""], [""2002"", ""[This_Armor|This Armor]"", ""3"", ""Toshiba EMI/Virgin Tokyo"", ""2x Platinum""], [""2002"", ""[Sugar_High_(album)|Sugar High]"", ""2"", ""Toshiba EMI/Virgin Tokyo"", ""Platinum""]]"
table-0008-894,Philippine Agenda,Issues,Issues,"[""Issue"", ""Original airdate"", ""Host"", ""Episode #""]","[["""", """", """", """"], [""[Education|Education]"", ""March 25, 2007"", ""[Jessica_Soho|Jessica Soho]"", ""1""], [""Jessica Soho discusses the deteriorating system of education in the Philippines."", ""Jessica Soho discusses the deteriorating system of education in the Philippines."", ""Jessica Soho discusses the deteriorating system of education in the Philippines."", ""Jessica Soho discusses the deteriorating system of education in the Philippines.""]]"
table-0008-994,Incarceration in the United States,Prison population,Prison population,"[""USA and territories. Incarcerated population. Adult and juvenile inmates."", ""Number of inmates in 2008""]","[[""Total"", ""2,418,352""], [""Federal and state prisons"", ""1,518,559""], [""Territorial prisons"", ""13,576""]]"
table-0009-475,Queensland Raceway,Lap records,Lap records,"[""Class"", ""Driver"", ""Vehicle"", ""Time"", ""Date""]","[[""[Formula_Holden|Formula Holden]"", ""[Simon_Wills|Simon Wills]"", ""[Reynard_Motorsport|Reynard]"", ""1:04.0661"", ""11 July 1999""], [""Racing Cars"", ""Racing Cars"", ""Racing Cars"", ""Racing Cars"", ""Racing Cars""], [""[Australian_Formula_3|Formula 3]"", ""[Tim_Macrow|Tim Macrow]"", ""[Dallara|Dallara]"", ""1:04.4146"", ""4 August 2013""]]"
table-0009-819,Earnings before interest and taxes,,See also,"[""Statement of Income \u2014 Example (figures in thousands)"", ""Statement of Income \u2014 Example (figures in thousands)""]","[[""Revenue"", ""Revenue""], [""Sales Revenue"", ""$20,438""], [""Operating Expenses"", ""Operating Expenses""]]"
table-0009-911,"Salisbury, New Brunswick",Demographics,Demographics,"[""Income type"", ""[Canadian_dollar|CAD]""]","[[""Per capita income"", ""$22,271""], [""Median Household Income"", ""$43,652""], [""Median Family Income"", ""$53,088""]]"
table-0010-396,Minneapolis–Saint Paul,,Region,"[""Minneapolis\u2013Saint Paul U.S. Census Bureau Areas"", ""Minneapolis\u2013Saint Paul U.S. Census Bureau Areas""]","[[""Population"", ""[Combined_Statistical_Area|14th]""], [""Minnesota counties"", ""[Anoka_County,_Minnesota|Anoka]""], [""Wisconsin counties"", ""[Pierce_County,_Wisconsin|Pierce]""]]"
table-0010-999,Playalitical,Singles,Singles,"[""Year"", ""Singles"", ""[Billboard_Hot_100|U.S. Hot 100]"", ""U.S. R&amp;B"", ""[Hot_Rap_Songs|U.S. Rap]"", ""Album""]","[[""2006"", ""[Bizzy_Bone|Bizzy Bone]"", ""-"", ""-"", ""73"", ""Code Green: Operation Takeover""], [""2006"", ""[Yung_Joc|Yung Joc]"", ""3"", ""1"", ""1"", ""[New_Joc_City|New Joc City]""], [""2006"", ""[Bizzy_Bone|Bizzy Bone]"", ""-"", ""71"", ""27"", ""Midwest Cowboy""]]"
table-0011-447,List of Massachusetts Institute of Technology faculty,Deceased faculty,Deceased faculty,"[""Name"", ""Department"", ""Year"", ""Citation"", ""Notes""]","[[""[Manson_Benedict|Manson Benedict]"", ""Nuclear Engineering"", ""1975"", ""Engineering - \""For inspired and ingenious leadership in the development of gaseous diffision plants for uranium isotope separation, and for his role in creating the discipline of nuclear engineering.\"""", "",""], [""[Vannevar_Bush|Vannevar Bush]"", ""\""Electrical Engineering\"""", ""1963"", ""Engineering - \""For his distinguished achievements in electrical engineering, in the technology of computing machines, in the effective coupling of the physical and life sciences; and in his mobilizing science, engineering and education in enduring ways in the service of the Nation.\"""", """"], [""[Morris_Cohen_(scientist)|Morris Cohen]"", ""\""Metallurgy\"""", ""1976"", ""Engineering - \""For original research and advancement of knowledge of the physical and mechanical metallurgy of iron and steel, and especially for his work on the martensitic transformation in the hardening of steel.\"""", "",""]]"
table-0011-448,List of Massachusetts Institute of Technology faculty,Former faculty,Former faculty,"[""Name"", ""Department"", ""Year"", ""Citation"", ""Notes""]","[[""[David_Baltimore|David Baltimore]"", ""Biology"", ""1999"", ""Biological Sciences - \""For his fundamental discoveries in virology, tumor biology and immunology, notably the discovery of how tumor-causing viruses multiply; for his devotion to building excellence in scientific institutions; and for his statesmanship in fostering communication between scientists and the general public.\"""", "",""], [""[John_W._Cahn|John W. Cahn]"", ""Chemistry"", ""1998"", ""Chemistry - \""For his pioneering work on thermodynamics and kinetics of phase transitions and diffusion, on interfacial phenomena, and for his contributions to the understanding of periodic and quasi-periodic structures.\"""", """"], [""[Charles_H._Townes|Charles H. Townes]"", ""Physics"", ""1982"", ""Physical Sciences - \""For fundamental contributions to the understanding of matter through its interaction with electromagnetic radiations and the application of this knowledge to the service of mankind, most notably in the invention of the maser and laser.\"""", "",""]]"
table-0011-449,List of Massachusetts Institute of Technology faculty,Former and/or retired research staff,Former and/or retired research staff,"[""Name"", ""Department"", ""Year"", ""Citation"", ""Notes""]","[[""[Thomas_Cech|Thomas R. Cech]"", ""Chemistry"", ""1995"", ""Chemistry - \""For his discoveries regarding RNA catalysis that have added new dimensions to the understanding of the role of RNA in living systems.\"""", """"], [""[E._Donnall_Thomas|E. Donnall Thomas]"", ""Biology"", ""1990"", ""Biological Sciences - \""For his pioneering work in the science and application of transplantation biology to successful bone marrow transplantation in man for the treatment of cancer and related conditions.\"""", """"]]"
table-0011-452,List of Massachusetts Institute of Technology faculty,Deceased faculty,Deceased faculty,"[""Name"", ""Department"", ""Year"", ""Award"", ""Citation"", ""Notes""]","[[""[Henry_Way_Kendall|Henry W. Kendall]"", ""Physics"", ""1990"", ""[Nobel_Prize_in_Physics|Physics]"", ""\""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics\"""", """"], [""[Har_Gobind_Khorana|H. Gobind Khorana]"", ""Biology"", ""1968"", ""[Nobel_Prize_in_Physiology_or_Medicine|Medicine/Physiology]"", ""\""for their interpretation of the genetic code and its function in protein synthesis\"""", """"], [""[Salvador_Luria|Salvador E. Luria]"", ""Biology"", ""1969"", ""[Nobel_Prize_in_Physiology_or_Medicine|Medicine/Physiology]"", ""\""for their discoveries concerning the replication mechanism and the genetic structure of viruses\"""", """"]]"
table-0012-373,New Shoes,Charts,Charts,"[""Chart (2006/07/08/10)"", ""Peak position""]","[[""Dutch Singles Chart"", ""42""], [""[GfK_Entertainment|German Singles Chart]"", ""97""], [""Swiss Singles Chart"", ""52""]]"
table-0012-462,German Rentenmark,Currencies of Germany,Currencies of Germany,"[""[German_Papiermark|German Papiermark]"", ""[Germany|Germany]""]","[[""[Deutsche_Mark|Deutsche Mark]"", """"]]"
table-0012-931,List of Unicode characters,Currency Symbols,Currency Symbols,"[""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]"", ""[Currency_Symbols_(Unicode_block)|Currency Symbols]""]","[["""", ""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""A"", ""B"", ""C"", ""D"", ""E"", ""F""], [""U+20Ax"", ""[European_Currency_Unit|European_Currency_Unit]"", ""[Col\u00f3n_(currency)|Col\u00f3n_(currency)]"", ""[Brazilian_cruzeiro|Brazilian_cruzeiro]"", ""[French_franc|French_franc]"", ""[Pound_sign|Pound_sign]"", ""[Mill_(currency)|Mill_(currency)]"", ""[Nigerian_naira|Nigerian_naira]"", ""[Peseta|Peseta]"", ""[Rupee|Rupee]"", ""[Won_sign|Won_sign]"", ""[Shekel_sign|Shekel_sign]"", ""[Vietnamese_dong|Vietnamese_dong]"", ""[Euro_sign|Euro_sign]"", ""[Lao_kip|Lao_kip]"", ""[Mongolian_t\u00f6gr\u00f6g|Mongolian_t\u00f6gr\u00f6g]"", ""[Greek_drachma|Greek_drachma]""], [""U+20Bx"", ""[Pfennig|Pfennig]"", ""[Philippine_peso_sign|Philippine_peso_sign]"", ""[Paraguayan_guaran\u00ed|Paraguayan_guaran\u00ed]"", ""[Argentine_austral|Argentine_austral]"", ""[Hryvnia_sign|Hryvnia_sign]"", ""[Ghanaian_cedi|Ghanaian_cedi]"", ""[Livre_tournois|Livre_tournois]"", ""[Spesmilo|Spesmilo]"", ""[Kazakhstani_tenge|Kazakhstani_tenge]"", ""[Indian_rupee_sign|Indian_rupee_sign]"", ""[Turkish_lira_sign|Turkish_lira_sign]"", """", """", """", """", """"]]"
table-0014-364,Chris Corbould,Special effects filmography,Special effects filmography,"[""Year"", ""Film"", ""Role""]","[[""2015"", ""[Star_Wars:_The_Force_Awakens|Star Wars Episode VII]"", ""special effects supervisor""], [""2014"", ""[Interstellar_(film)|Interstellar]"", ""special effects supervisor""], [""2012"", ""[Skyfall|Skyfall]"", ""special effects supervisor""]]"
table-0014-798,Spy camera,Spy Cameras for the Home,Spy Cameras for the Home,"[""iPod Docking Station"", ""Digital Clock"", ""Teddy Bear"", ""Tissue Box""]","[[""Smoke Detector"", ""Air Purifier"", ""DVD Player"", ""Boom Box / Radio""], [""Picture Frame"", ""Air Freshener"", ""Fan"", ""DVD Case""], [""Wall Decor"", ""Cookie Jar"", ""CO Detector"", ""Motion Sensor""]]"
table-0015-303,Summer Waves,Attractions,Attractions,"[""Ride"", ""Description""]","[[""Frantic Atlantic Wave Pool"", ""A family-friendly wave pool.""], [""Splash Zone"", ""The children's section of the park.""], [""Pirate's Passage"", ""A 5-story slide, the biggest at the park.""]]"
table-0015-426,Evolution of the Portuguese Empire,Countries with territories part of the Portuguese Empire,Countries with territories part of the Portuguese Empire,"[""Region"", ""States"", ""Countries with Territories part of the Portuguese Empire""]","[[""Africa"", ""26 States"", ""Dark Blue: Countries with at least one Territory (anachronistic) part of the Portuguese Empire. Light Blue: Countries with at least one Claimed territory (anachronistic) part of the Portuguese Empire""], [""North America"", ""3 States"", ""Dark Blue: Countries with at least one Territory (anachronistic) part of the Portuguese Empire. Light Blue: Countries with at least one Claimed territory (anachronistic) part of the Portuguese Empire""], [""Central and South America"", ""4 States"", ""Dark Blue: Countries with at least one Territory (anachronistic) part of the Portuguese Empire. Light Blue: Countries with at least one Claimed territory (anachronistic) part of the Portuguese Empire""]]"
table-0015-657,Tongan paʻanga,Coins,Coins,"[""Value"", ""Diameter"", ""Composition"", ""1975\u20131979"", ""1975\u20131979"", ""1981-"", ""1981-""]","[[""1 seniti"", ""18mm"", ""[Bronze|Bronze]"", ""Maize"", ""Pig"", ""Maize"", ""Vanilla""], [""2 seniti"", ""21mm"", ""[Bronze|Bronze]"", ""[Cucurbita|Marrows]"", ""PLANNED FAMILIES FOOD FOR ALL, six people holding hands"", ""Taro"", ""PLANNED FAMILIES FOOD FOR ALL, six people holding hands""], [""5 seniti"", ""19mm"", ""[Cupronickel|Cupronickel]"", ""Chicken with chicks"", """", ""Chicken with chicks"", ""Coconuts""]]"
table-0016-334,UWA World Heavyweight Championship,Title history,Title history,"[""Reign"", ""The reign number for the specific set of wrestlers listed.""]","[[""Event"", ""The event promoted by the respective promotion in which the titles were won""], [""N/A"", ""The specific information is not known""], [""\u2014"", ""Used for vacated reigns in order to not count it as an official reign""]]"
table-0016-393,Redcap (TV series),Season 1,Season 1,"[""#"", ""Episode"", ""Writer"", ""Director"", ""Original airdate""]","[[""1"", ""It's What Comes After"", ""William Emms"", ""Raymond Menmuir"", ""17 October 1964""], [""Mann encounters hostility from every quarter when he investigates a rape which took place inside an army barracks. Even the victim doesn't want to help him."", ""Mann encounters hostility from every quarter when he investigates a rape which took place inside an army barracks. Even the victim doesn't want to help him."", ""Mann encounters hostility from every quarter when he investigates a rape which took place inside an army barracks. Even the victim doesn't want to help him."", ""Mann encounters hostility from every quarter when he investigates a rape which took place inside an army barracks. Even the victim doesn't want to help him."", ""Mann encounters hostility from every quarter when he investigates a rape which took place inside an army barracks. Even the victim doesn't want to help him.""], ["""", """", """", """", """"]]"
table-0016-437,List of Viva La Bam episodes,Season 2 (2004),Season 2 (2004),"[""No. in series"", ""No. in season"", ""Title"", ""Original airdate""]","[[""9"", ""1"", ""\""Castle Bam\"""", ""April 25, 2004""], [""Bam and the crew search for a new home and stumble upon a secluded house with acres of yard, complete with a unicorn mural painted on the side. Bam and the boys decide to abandon their unpacking duties and head to Amsterdam for a CKY show, leaving April and Phil to unpack and decorate the new house. Bam returns from Amsterdam and hates what April has done with the house. Bam proclaims, \""New house, new rules!\"""", ""Bam and the crew search for a new home and stumble upon a secluded house with acres of yard, complete with a unicorn mural painted on the side. Bam and the boys decide to abandon their unpacking duties and head to Amsterdam for a CKY show, leaving April and Phil to unpack and decorate the new house. Bam returns from Amsterdam and hates what April has done with the house. Bam proclaims, \""New house, new rules!\"""", ""Bam and the crew search for a new home and stumble upon a secluded house with acres of yard, complete with a unicorn mural painted on the side. Bam and the boys decide to abandon their unpacking duties and head to Amsterdam for a CKY show, leaving April and Phil to unpack and decorate the new house. Bam returns from Amsterdam and hates what April has done with the house. Bam proclaims, \""New house, new rules!\"""", ""Bam and the crew search for a new home and stumble upon a secluded house with acres of yard, complete with a unicorn mural painted on the side. Bam and the boys decide to abandon their unpacking duties and head to Amsterdam for a CKY show, leaving April and Phil to unpack and decorate the new house. Bam returns from Amsterdam and hates what April has done with the house. Bam proclaims, \""New house, new rules!\""""], [""10"", ""2"", ""\""Dating Don Vito\"""", ""May 2, 2004""]]"
table-0016-438,List of Viva La Bam episodes,Season 3 (2004),Season 3 (2004),"[""No. in series"", ""No. in season"", ""Title"", ""Original airdate""]","[[""17"", ""1"", ""\""Driveway Skatepark\"""", ""October 24, 2004""], [""[Dave_Grohl|Dave Grohl]"", ""[Dave_Grohl|Dave Grohl]"", ""[Dave_Grohl|Dave Grohl]"", ""[Dave_Grohl|Dave Grohl]""], [""18"", ""2"", ""\""Uncivil War\"""", ""October 31, 2004""]]"
table-0016-922,Sailin' Shoes,,Track listing,"[""Professional ratings"", ""Professional ratings""]","[[""[AllMusic|AllMusic]"", """"], [""[Rolling_Stone|Rolling Stone]"", ""(favorable)""]]"
table-0017-237,Association football club names,Club names referring to days and dates,Club names referring to days and dates,"[""Topic"", ""Meaning"", ""Country"", ""Clubs""]","[[""Days of the week"", ""Clubs named after a specific day of the week"", ""[England|England]"", ""[Sheffield_Wednesday_F.C.|Sheffield Wednesday]""], [""Days of the week"", ""Clubs named after a specific day of the week"", ""[Wales|Wales]"", ""[Abergavenny_Thursdays_F.C.|Abergavenny Thursdays]""], [""Independence Day"", ""Clubs named after the day of independence of the country or city"", ""[Argentina|Argentina]"", ""[9_de_Julio_de_Rafaela|Nueve de Julio]""]]"
table-0017-770,SOS Hermann Gmeiner College,Uniform,Uniform,"[""Season/gender"", ""Summer"", ""Winter"", ""Sports day""]","[[""Boys"", ""White half sleeve shirt, ash grey trouser, black leather belt, black shoes."", ""White full sleeve shirt, maroon trouser, black leather belt, black shoes, maroon necktie."", ""White half sleeve shirt, white trouser, black leather belt, white keds.""], [""Girls"", ""Ash grey frock, white pajama, white orna, black shoes."", ""Maroon frock, white pajama & white orna, black shoes."", ""White frock, white pajama & white orna, white keds.""]]"
